lat,lon,country
-88.59375,151.171875,Antarctica
-88.59375,152.578125,Antarctica
-88.59375,153.984375,Antarctica
-88.59375,155.390625,Antarctica
-88.59375,156.796875,Antarctica
-88.59375,158.203125,Antarctica
-88.59375,159.609375,Antarctica
-88.59375,161.015625,Antarctica
-88.59375,162.421875,Antarctica
-88.59375,163.828125,Antarctica
-88.59375,165.234375,Antarctica
-88.59375,166.640625,Antarctica
-88.59375,168.046875,Antarctica
-88.59375,169.453125,Antarctica
-88.59375,170.859375,Antarctica
-88.59375,172.265625,Antarctica
-88.59375,173.671875,Antarctica
-88.59375,175.078125,Antarctica
-88.59375,176.484375,Antarctica
-88.59375,177.890625,Antarctica
-88.59375,179.296875,Antarctica
-88.59375,180.703125,Antarctica
-88.59375,182.109375,Antarctica
-88.59375,183.515625,Antarctica
-88.59375,184.921875,Antarctica
-88.59375,186.328125,Antarctica
-88.59375,187.734375,Antarctica
-88.59375,189.140625,Antarctica
-88.59375,190.546875,Antarctica
-88.59375,191.953125,Antarctica
-88.59375,193.359375,Antarctica
-88.59375,194.765625,Antarctica
-88.59375,196.171875,Antarctica
-88.59375,197.578125,Antarctica
-88.59375,198.984375,Antarctica
-88.59375,200.390625,Antarctica
-88.59375,201.796875,Antarctica
-88.59375,203.203125,Antarctica
-88.59375,204.609375,Antarctica
-88.59375,206.015625,Antarctica
-88.59375,207.421875,Antarctica
-88.59375,208.828125,Antarctica
-88.59375,210.234375,Antarctica
-88.59375,211.640625,Antarctica
-88.59375,213.046875,Antarctica
-88.59375,214.453125,Antarctica
-88.59375,215.859375,Antarctica
-88.59375,217.265625,Antarctica
-88.59375,218.671875,Antarctica
-88.59375,220.078125,Antarctica
-88.59375,221.484375,Antarctica
-88.59375,222.890625,Antarctica
-88.59375,224.296875,Antarctica
-88.59375,225.703125,Antarctica
-88.59375,227.109375,Antarctica
-88.59375,228.515625,Antarctica
-88.59375,229.921875,Antarctica
-88.59375,231.328125,Antarctica
-88.59375,232.734375,Antarctica
-88.59375,234.140625,Antarctica
-88.59375,235.546875,Antarctica
-88.59375,236.953125,Antarctica
-88.59375,238.359375,Antarctica
-88.59375,239.765625,Antarctica
-88.59375,241.171875,Antarctica
-88.59375,242.578125,Antarctica
-88.59375,243.984375,Antarctica
-88.59375,245.390625,Antarctica
-88.59375,246.796875,Antarctica
-88.59375,248.203125,Antarctica
-88.59375,249.609375,Antarctica
-88.59375,251.015625,Antarctica
-88.59375,252.421875,Antarctica
-88.59375,253.828125,Antarctica
-88.59375,255.234375,Antarctica
-88.59375,256.640625,Antarctica
-88.59375,258.046875,Antarctica
-88.59375,259.453125,Antarctica
-88.59375,260.859375,Antarctica
-88.59375,262.265625,Antarctica
-88.59375,263.671875,Antarctica
-88.59375,265.078125,Antarctica
-88.59375,266.484375,Antarctica
-88.59375,267.890625,Antarctica
-88.59375,269.296875,Antarctica
-88.59375,270.703125,Antarctica
-88.59375,272.109375,Antarctica
